contributor_name,fec_id,lifetime_total_usd,contribution_count,first_date,last_date,cycle_2016,cycle_2018,cycle_2020,cycle_2022,cycle_2024,cycle_2026
"AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE PAC",C00797670,606667.67,78,2022-08-09,2026-03-25,0.00,0.00,0.00,7250.00,210472.00,388945.67
"AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION CO",C00797670,95219.00,12,2022-03-03,2022-06-20,0.00,0.00,0.00,95219.00,0.00,0.00
"NORPAC",C00247403,53480.00,5,2018-06-15,2025-10-17,0.00,13000.00,0.00,0.00,0.00,40480.00
"PRO-ISRAEL AMERICA PAC CONDUIT",C00699470,11515.00,2,2020-06-30,2020-08-10,0.00,0.00,11515.00,0.00,0.00,0.00
"U.S. ISRAEL PAC  (USI PAC)",C00127811,11500.00,3,2021-05-10,2025-11-06,0.00,0.00,0.00,5000.00,1500.00,5000.00
"REPUBLICAN JEWISH COALITION PAC CONDUIT",C00345132,1250.00,2,2024-09-15,2024-09-22,0.00,0.00,0.00,0.00,1250.00,0.00
"PRO-ISRAEL AMERICA PAC",C00699470,1000.00,1,2019-05-23,2019-05-23,0.00,0.00,1000.00,0.00,0.00,0.00
"REPUBLICAN JEWISH COALITION-POLITICAL ACTION COMMITTEE (RJC-PAC)",C00345132,250.00,1,2026-01-15,2026-01-15,0.00,0.00,0.00,0.00,0.00,250.00
TOTAL,,780881.67,104,,,0.00,13000.00,12515.00,107469.00,213222.00,434675.67
